FID,id,The_geom,nome,tipo,data_inaug,status,endereco,bairro,cod_bairro,regional,territorio,orgao,inaugurado,fonte,epsg_codf,x,y,ano_ref
vw_Areninhas.fid--780b70dd_194f2cc3853_-233f,71,POINT (-38.54476114084107 -3.804714694958003),Areninha Campo do Palito,Mini Areninha,2020-12-29,Concluído,Rua do Matadouro com travessa Edson Brasil,Parque Dois Irmãos,84,SER 8,20,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,550546.3161,9579445.1828,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-233e,72,POINT (-38.486580496854614 -3.7723384092867907),Areninha Campo do Rio,Mini Areninha,sem informação,Concluído,"Avenida Miguel Dias, com avenida Pinto Bandeira",Luciano Cavalcante,58,SER 7,24,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,557008.5412,9583020.4117,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-233d,73,POINT (-38.58193014534334 -3.82109119521071),Areninha Campinho do Conjunto Esperança,Mini Areninha,2021-12-23,Concluído,Rua Guilhermina Rocha s/n,Mondubim,83,SER 10,35,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,546418.3933,9577637.0461,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-233c,74,POINT (-38.587080368709664 -3.8079365671638667),Areninha Campo Novo Mondubim,Mini Areninha,2021-12-06,Concluído,Rua 103 com rua 104,Novo Mondubim,121,SER 10,34,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545847.25,9579091.4064,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-233b,75,POINT (-38.47361638131069 -3.8500086775158198),Areninha Por do Sol,Mini Areninha,sem informação,Concluído,Rua Nelson Mandela com Rua Dom Aluísio Loscheider,Coaçu,55,SER 6,30,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558442.8341,9574433.9116,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-233a,76,POINT (-38.52577422756601 -3.8217657601864357),Areninha Passaré,Mini Areninha,sem informação,Concluído,Rua Safira com Rua Silvia Maria Peroba,Passaré,88,SER 8,20,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,552653.4904,9577559.2449,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2339,77,POINT (-38.59825963249392 -3.7146893551597766),Areninha Tancredo Neves,Mini Areninha,2021-09-24,Concluído,Avenida K com Rua 20,Vila Velha,39,SER 1,2,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,544610.7157,9589399.3094,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2338,78,POINT (-38.5926530669699 -3.7697507961850705),Areninha Praça da Juventude,Mini Areninha,2021-12-08,Concluído,Avenida Audízio Pinheiro com Travessa Rio de Janeiro,João XXIII,46,SER 11,37,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545230.4753,9583312.6671,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2337,79,POINT (-38.55307890943074 -3.8022003620553435),Areninha Unidos do Dendê,Mini Areninha,2021-11-29,Concluído,Avenida Bernardo Manuel com rua D,Dendê,77,SER 8,19,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,549622.8983,9579723.5953,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2336,80,POINT (-38.59421578900936 -3.7073704429557406),Areninha Carrapicho,Areninha,sem informação,Concluído,Rua 27 com rua 2 e rua 23 (Conjunto Polar),Vila Velha,39,SER 1,2,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545060.1371,9590208.1184,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2335,81,POINT (-38.56920586971956 -3.7342400441886765),Areninha Praça Raquel de Queiroz,Mini Areninha,2022-02-15,Concluído,Avenida Governador Persival Barroso com rua Licurgo Montenegro,Presidente Kennedy,33,SER 3,12,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,547835.9546,9587236.6997,2021
